,UMPA1,UMAP2,timepoint
2189621,0.3801936,8.590863,tp0
2189689,2.7841568,9.173518,tp0
2189750,0.1646376,7.745316,tp0
2189777,-2.5034962,8.529687,tp0
2189834,-0.44976586,8.533179,tp0
2190068,2.1809592,8.733761,tp0
2190108,10.319664,6.6267824,tp0
2190189,5.7109175,8.387017,tp0
2190310,0.4362221,10.315419,tp0
2190348,-2.4016266,10.755956,tp0
2190371,0.3527871,8.40664,tp0
2190434,7.08254,8.4551935,tp0
2190480,-2.4882843,10.422328,tp0
2190499,6.351325,9.236411,tp0
2190532,0.6256915,11.682147,tp0
2190559,-1.434354,10.76645,tp0
2190749,-0.17177409,7.9672894,tp0
2190814,6.71995,9.479912,tp0
2190828,11.18608,7.151682,tp0
2190895,-1.7233555,9.330266,tp0
2190992,9.499299,7.621548,tp0
2191053,10.983227,5.6984253,tp0
2191085,-2.1586494,8.991004,tp0
2191117,-0.5605824,10.173022,tp0
2191248,-0.40837312,8.156024,tp0
2191302,6.3553653,8.466106,tp0
2191383,-2.0131767,11.444503,tp0
2191403,-1.2583702,9.521785,tp0
2191465,-1.1517801,10.267514,tp0
2191469,-1.997305,9.246683,tp0
2191473,6.827257,7.781483,tp0
2191479,-1.772401,9.5435705,tp0
2191492,-2.2894385,10.707794,tp0
2191498,7.9019704,8.477757,tp0
2191624,1.5611796,11.214446,tp0
2191764,0.4032965,9.857627,tp0
2191781,-1.4061465,8.482047,tp0
2191826,8.887704,8.182197,tp0
2191919,-1.3738515,10.379929,tp0
2191933,10.702836,5.757727,tp0
2192023,-1.0781419,8.955104,tp0
2192025,10.240739,8.106819,tp0
2192074,-0.1993192,10.804194,tp0
2192137,10.555817,6.62194,tp0
2192357,2.3455958,11.132132,tp0
2192377,-1.583172,8.959419,tp0
2192435,8.433108,7.138912,tp0
2192469,-2.4071836,8.013772,tp0
2192575,-1.2236096,9.375971,tp0
2192601,9.775632,6.205602,tp0
2192697,-1.7793654,11.946647,tp0
2192706,-1.1957451,8.616759,tp0
2192729,-2.4469905,10.387889,tp0
2192768,-2.614837,9.728953,tp0
2192811,-2.1227067,9.675045,tp0
2192900,-1.9592459,10.201004,tp0
2192934,-1.6910908,7.7292466,tp0
2193071,10.536803,5.2693653,tp0
2193345,10.120628,6.049164,tp0
2193501,6.6795564,8.845603,tp0
2193502,7.568176,7.7635455,tp0
2193547,1.5848211,9.42794,tp0
2193575,0.745021,11.7319565,tp0
2193648,6.0156794,8.308359,tp0
2193748,-2.339703,10.131659,tp0
2193904,10.829799,4.621979,tp0
2194120,1.9236838,10.122352,tp0
2194151,10.408188,8.012218,tp0
2194205,-2.9010134,9.792362,tp0
2194380,-1.9629062,10.152571,tp0
2194403,-2.8520129,9.64496,tp0
2194551,8.599037,7.5143557,tp0
2194754,8.666792,7.496028,tp0
2194888,-0.7086171,8.139887,tp0
2194962,1.7849115,9.466058,tp0
2194974,-1.6629204,11.271394,tp0
2195035,9.544475,9.225523,tp0
2195047,-0.38827324,10.309531,tp0
2195103,-0.8041533,10.100938,tp0
2195178,2.8454976,9.768354,tp0
2195225,-2.2423952,7.5926757,tp0
2195247,-1.6993572,11.36323,tp0
2195296,-2.229982,7.3954406,tp0
2195314,3.1954238,9.258762,tp0
2195319,-0.21966322,10.416939,tp0
2195348,6.156226,8.613448,tp0
2195373,11.078927,5.366073,tp0
2195400,6.174914,7.969445,tp0
2195497,0.32646006,9.326158,tp0
2195557,-0.8547901,8.559765,tp0
2195613,-2.0900269,11.237301,tp0
2195629,-0.71574676,11.659408,tp0
2195774,-2.1025214,10.184265,tp0
2196026,10.325303,5.4341636,tp0
2196066,4.2858267,10.382816,tp0
2196093,9.897065,6.447294,tp0
2196125,0.8987185,11.601095,tp0
2196215,-1.0392655,11.538737,tp0
2196265,-2.7645767,8.972833,tp0
2196296,-1.2923042,9.014715,tp0
2196367,-1.385036,10.2969,tp0
2196539,1.5616887,9.266206,tp0
2196569,-1.3490278,10.540515,tp0
2196598,-2.212703,11.160932,tp0
2196604,10.385863,8.915971,tp0
2196772,-2.0188432,7.6739197,tp0
2196858,8.08475,8.810073,tp0
2196994,-2.9009693,9.736571,tp0
2197003,-0.31304067,7.8412404,tp0
2197020,4.634696,8.8736925,tp0
2197053,9.769275,8.617954,tp0
2197137,-1.1274877,8.79757,tp0
2197155,0.73920906,7.632171,tp0
2197180,-0.1297377,10.782994,tp0
2197186,3.5596533,9.777833,tp0
2197328,7.4890137,6.7297425,tp0
2197353,7.2898574,9.402486,tp0
2197360,7.9040604,9.462907,tp0
2197456,10.202672,6.9922957,tp0
2197525,7.606621,9.139124,tp0
2197539,-2.3971968,11.016723,tp0
2197556,2.0143588,8.703979,tp0
2197671,9.474856,7.538553,tp0
2197767,2.3276713,10.396749,tp0
2197815,-2.785584,9.41803,tp0
2197970,-2.1310482,10.511745,tp0
2198100,9.264681,6.235836,tp0
2198191,1.8088074,11.18029,tp0
2198273,-1.8322012,8.966716,tp0
2198470,0.95525104,10.443286,tp0
2198554,10.131379,4.9016495,tp0
2198560,7.775326,8.159215,tp0
2198648,-2.110935,11.224643,tp0
2198663,-2.2728176,8.291998,tp0
2198718,0.11064999,9.190981,tp0
2198719,10.63892,4.681144,tp0
2198725,-2.3161242,11.26544,tp0
2198768,-1.892449,10.8160305,tp0
2198778,8.740789,7.452463,tp0
2198781,-1.2757399,10.266053,tp0
2198835,-0.77155757,8.348058,tp0
2198853,-2.7880728,9.892317,tp0
2198867,-2.6483755,8.861665,tp0
2198919,-0.30276263,10.128051,tp0
2198921,7.6666574,8.646043,tp0
2198934,-0.22988357,8.796123,tp0
2198942,-0.88657385,8.949945,tp0
2198968,-2.000242,10.784766,tp0
2199027,2.3157773,8.773132,tp0
2199108,-0.124567896,11.747196,tp0
2199229,-2.3955548,10.159779,tp0
2199240,-2.3422654,8.303731,tp0
2199253,-1.0487927,11.438707,tp0
2199280,-1.5995272,9.1703205,tp0
2199375,10.458934,6.225977,tp0
2199401,11.9944515,6.649684,tp0
2199418,9.669391,8.911108,tp0
2199436,0.82375383,9.712017,tp0
2199499,-1.8863705,11.6394,tp0
2199513,7.9232006,7.863063,tp0
2199732,9.834709,5.761348,tp0
2199875,10.581564,4.8550625,tp0
2199879,-2.7830846,9.837672,tp0
2199889,-1.5006936,9.814294,tp0
2199890,-2.9132543,9.308371,tp0
2199980,-1.6138297,10.223233,tp0
2200004,-0.29223767,9.15403,tp0
2200118,9.1809025,7.253707,tp0
2200119,0.30646652,8.035292,tp0
2200125,1.3503833,9.715166,tp0
2200146,-1.8432143,11.170129,tp0
2200150,-1.7126324,8.231167,tp0
2200197,-2.092999,11.569096,tp0
2200274,-1.558285,7.4090586,tp0
2200290,8.124025,8.734504,tp0
2200355,-2.617257,8.714439,tp0
2200470,2.396641,9.022612,tp0
2200504,-1.2944021,7.807538,tp0
2200707,0.4701476,8.062551,tp0
2200783,0.66243845,8.506451,tp0
2200832,5.1703568,8.097478,tp0
2200910,1.6534567,7.362001,tp0
2200928,-2.074386,11.3312235,tp0
2201002,2.1921008,10.025312,tp0
2201058,-1.7479072,10.896668,tp0
2201075,-1.6073309,9.469103,tp0
2201090,-0.32677162,11.921712,tp0
2201095,6.283138,9.183476,tp0
2201154,-0.23468727,8.999596,tp0
2201182,-1.0769523,7.419369,tp0
2201203,-2.565908,10.53312,tp0
2201311,-1.8197093,10.664559,tp0
2201330,-1.1878564,9.707212,tp0
2201343,5.1102448,9.089502,tp0
2201395,1.8731945,9.47709,tp0
2201406,9.517042,6.0502524,tp0
2201455,-0.74872315,8.727166,tp0
2201463,-0.7617765,12.158083,tp0
2201549,0.13488264,12.053487,tp0
2201554,-2.8289375,9.319065,tp0
2201600,8.394175,7.9903235,tp0
2201718,2.6913428,8.68233,tp0
2201732,-2.8081062,9.156353,tp0
2201828,-1.6722461,9.305637,tp0
2201967,0.19720949,7.14591,tp0
2202058,-1.8501481,7.777525,tp0
2202092,-0.56827384,8.225974,tp0
2202157,1.2483958,8.755556,tp0
2202185,-1.8429044,10.079052,tp0
2202324,1.2151302,11.09913,tp0
2202336,3.9391658,8.340631,tp0
2202400,-2.5619082,7.819162,tp0
2202546,-2.0980816,9.574333,tp0
2202625,-2.4750283,10.354762,tp0
2202644,-2.4401698,7.932033,tp0
2202707,-0.88582104,7.6078534,tp0
2202751,3.2168996,8.204632,tp0
2202860,-0.30185696,12.180108,tp0
2202893,10.400683,8.200172,tp0
2202974,-2.17504,7.5278234,tp0
2203083,3.1803226,7.937711,tp0
2203135,12.142032,6.6057906,tp0
2203221,1.4072549,11.684778,tp0
2203284,8.88988,8.562127,tp0
2203358,8.266424,8.220269,tp0
2203474,-1.7658731,9.71184,tp0
2203487,-0.23506168,8.469036,tp0
2203504,8.829822,6.874069,tp0
2203611,0.21280167,7.2877274,tp0
2203622,-2.3277261,8.184076,tp0
2203668,2.0632253,7.318901,tp0
2203845,-1.199684,11.810363,tp0
2203871,0.81732243,10.207531,tp0
2203898,-2.0670664,7.601998,tp0
2204034,-2.5805695,8.342123,tp0
2204088,-1.6303821,11.846127,tp0
2204124,-1.3744581,7.7538424,tp0
2204136,9.649533,6.9378877,tp0
2204181,-2.0484178,9.606692,tp0
2204185,-1.9447252,7.61352,tp0
2204197,0.43397772,11.777715,tp0
2204201,8.929967,7.374187,tp0
2204257,-2.2763534,8.108967,tp0
2204262,-0.55217886,12.114028,tp0
2204265,-1.542532,11.755474,tp0
2204298,-2.3072782,10.1163435,tp0
2204339,-2.6000345,9.398438,tp0
2204341,-1.179983,8.903575,tp0
2204388,1.6664605,10.161681,tp0
2204433,-1.5904636,11.768393,tp0
2204462,6.6165547,8.083364,tp0
2204489,10.081653,5.9542303,tp0
2204502,1.5421472,8.938481,tp0
2204593,-2.5992286,9.063595,tp0
2204599,1.4581398,8.568369,tp0
2204666,0.14060156,9.363832,tp0
2204719,2.0717888,10.19465,tp0
2204728,-2.3838508,10.372896,tp0
2204795,-1.2517617,7.8823586,tp0
2204935,9.930799,6.5577316,tp0
2204971,-0.49287543,12.054933,tp0
2204979,-1.0109894,8.647688,tp0
2204985,9.163469,5.61509,tp0
2205007,-0.7732044,11.08083,tp0
2205015,-1.8498505,11.592698,tp0
2205127,-0.13927561,7.711607,tp0
2205129,-0.9800185,7.7123804,tp0
2205158,-0.71628976,9.080509,tp0
2205185,-0.31812572,10.001534,tp0
