"","x"
"400","21145880"
"401","21085513"
"402","21051437"
"403","20975755"
"404","21016441"
"405","21188119"
"406","21058904"
"407","21002429"
"408","21147493"
"409","20996036"
"410","20989191"
"411","21182831"
"412","21159631"
"413","21117464"
"414","21010243"
"415","21032778"
"416","21096808"
"417","21090978"
"418","21189580"
"419","21050667"
"420","20943110"
"421","21187978"
"422","21062078"
"423","20962470"
"424","20944775"
"425","21012552"
"426","21197175"
"427","21110363"
"428","21152349"
"429","20932477"
"430","20995069"
"431","21172041"
"432","20951094"
"433","21117084"
"434","21026680"
"435","21149728"
"436","21167818"
"437","21043801"
"438","20978100"
"439","21132135"
"440","21182211"
"441","21170031"
"442","21113886"
"443","21003687"
"444","21006899"
"445","21136937"
"446","21173396"
"447","21017677"
"448","21154994"
"449","21043020"
"450","21127973"
"451","21087459"
"452","21107358"
"453","20962168"
"454","20962123"
"455","21054660"
"456","20993521"
"457","21070399"
"458","20941538"
"459","21129460"
"460","21151920"
"461","21109131"
"462","21197077"
"463","21005243"
"464","20956311"
"465","21190045"
"466","21184224"
"467","20921188"
"468","20942910"
"469","20974666"
"470","20945747"
"471","21178495"
"472","21018418"
"473","21183902"
"474","20980973"
"475","21018197"
"476","20978862"
"477","20978008"
"478","21078722"
"479","21076187"
"480","20971932"
"481","21006274"
"482","20928496"
"483","21035328"
"484","21035937"
"485","20984550"
"486","21111969"
"487","21046242"
"488","20941808"
"489","21084776"
"490","21096159"
"491","20984062"
"492","21147910"
"493","20965107"
"494","20949117"
"495","20957070"
"496","20925617"
"497","20987460"
"498","21195508"
"499","20952082"
"500","21084092"
"501","21088315"
"502","21059999"
"503","20954343"
"504","20991221"
"505","21051038"
"506","21134294"
"507","21073323"
"508","21113402"
"509","21128795"
"510","21002552"
"511","21148600"
"512","21118717"
"513","21087184"
"514","21111274"
"515","21186628"
"516","20954960"
"517","20972106"
"518","21009250"
"519","21000246"
"520","20926094"
"521","20958970"
"522","21026473"
"523","21194182"
"524","21159158"
"525","21045930"
"526","21179358"
"527","21121773"
"528","20945141"
"529","20949479"
"530","21103816"
"531","20920899"
"532","20963787"
"533","20956592"
"534","21009466"
"535","21138372"
"536","21081364"
"537","20947448"
"538","21049022"
"539","20967516"
"540","21046380"
"541","21168582"
"542","20931074"
"543","21037911"
"544","20976699"
"545","21121502"
"546","20968127"
"547","21032698"
"548","20962163"
"549","20941663"
"550","21175305"
"551","21165448"
"552","20959672"
"553","20951858"
"554","21161185"
"555","21152595"
"556","21011132"
"557","20929455"
"558","21020007"
"559","21122407"
"560","20957986"
"561","21121114"
"562","20927632"
"563","21165355"
"564","21083086"
"565","21064637"
"566","21166725"
"567","20925268"
"568","21089013"
"569","21058330"
"570","21193232"
"571","21008089"
"572","21179028"
"573","21133576"
"574","21190315"
"575","21092025"
"576","20947964"
"577","21006162"
"578","20931669"
"579","21086330"
"580","21045069"
"581","20998550"
"582","21195009"
"583","20940014"
"584","21100316"
"585","21112610"
"586","21056278"
"587","21034782"
"588","20993030"
"589","21006530"
"590","20932213"
"591","21029431"
"592","21057232"
"593","21150128"
"594","20989070"
"595","21061586"
"596","21168697"
"597","21180155"
"598","21033648"
"599","20945370"
"600","20957125"
"601","21044452"
"602","21000640"
"603","21010800"
"604","20935463"
"605","21079104"
"606","20943254"
"607","21077133"
"608","21025223"
"609","21165645"
"610","21087836"
"611","21133767"
"612","21138239"
"613","21142427"
"614","21030391"
"615","21093758"
"616","21094548"
"617","20943070"
"618","21098329"
"619","21168917"
"620","20962300"
"621","21142703"
"622","20955510"
"623","20967276"
"624","20972038"
"625","21017109"
"626","21101565"
"627","21188875"
"628","21149637"
"629","21113582"
"630","21035020"
"631","21169614"
"632","21067373"
